column_variable,total_missing,percent_missing
rh_G_temp_sup.Plan_tempo_thickness_D,0,0.0
rh_G_temporal_inf_thickness_D,0,0.0
rh_G_temporal_middle_thickness_D,0,0.0
rh_Lat_Fis.ant.Horizont_thickness_D,0,0.0
rh_Lat_Fis.ant.Vertical_thickness_D,0,0.0
rh_Lat_Fis.post_thickness_D,0,0.0
rh_Pole_occipital_thickness_D,0,0.0
rh_Pole_temporal_thickness_D,0,0.0
rh_S_calcarine_thickness_D,0,0.0
rh_S_central_thickness_D,0,0.0
rh_S_cingul.Marginalis_thickness_D,0,0.0
rh_S_circular_insula_ant_thickness_D,0,0.0
rh_S_circular_insula_inf_thickness_D,0,0.0
rh_S_circular_insula_sup_thickness_D,0,0.0
rh_S_collat_transv_ant_thickness_D,0,0.0
rh_S_collat_transv_post_thickness_D,0,0.0
rh_S_front_inf_thickness_D,0,0.0
rh_S_front_middle_thickness_D,0,0.0
rh_S_front_sup_thickness_D,0,0.0
rh_S_interm_prim.Jensen_thickness_D,0,0.0
rh_S_intrapariet_and_P_trans_thickness_D,0,0.0
rh_S_oc_middle_and_Lunatus_thickness_D,0,0.0
rh_S_oc_sup_and_transversal_thickness_D,0,0.0
rh_S_occipital_ant_thickness_D,0,0.0
rh_S_oc.temp_lat_thickness_D,0,0.0
rh_S_oc.temp_med_and_Lingual_thickness_D,0,0.0
rh_S_orbital_lateral_thickness_D,0,0.0
rh_S_orbital_med.olfact_thickness_D,0,0.0
rh_S_orbital.H_Shaped_thickness_D,0,0.0
rh_S_parieto_occipital_thickness_D,0,0.0
rh_S_pericallosal_thickness_D,0,0.0
rh_S_postcentral_thickness_D,0,0.0
rh_S_precentral.inf.part_thickness_D,0,0.0
rh_S_precentral.sup.part_thickness_D,0,0.0
rh_S_suborbital_thickness_D,0,0.0
rh_S_subparietal_thickness_D,0,0.0
rh_S_temporal_inf_thickness_D,0,0.0
rh_S_temporal_sup_thickness_D,0,0.0
rh_S_temporal_transverse_thickness_D,0,0.0
rh_MeanThickness_thickness_D,0,0.0
rh_G_and_S_frontomargin_meancurv_D,0,0.0
rh_G_and_S_occipital_inf_meancurv_D,0,0.0
rh_G_and_S_paracentral_meancurv_D,0,0.0
rh_G_and_S_subcentral_meancurv_D,0,0.0
rh_G_and_S_transv_frontopol_meancurv_D,0,0.0
rh_G_and_S_cingul.Ant_meancurv_D,0,0.0
rh_G_and_S_cingul.Mid.Ant_meancurv_D,0,0.0
rh_G_and_S_cingul.Mid.Post_meancurv_D,0,0.0
rh_G_cingul.Post.dorsal_meancurv_D,0,0.0
rh_G_cingul.Post.ventral_meancurv_D,0,0.0
rh_G_cuneus_meancurv_D,0,0.0
rh_G_front_inf.Opercular_meancurv_D,0,0.0
rh_G_front_inf.Orbital_meancurv_D,0,0.0
rh_G_front_inf.Triangul_meancurv_D,0,0.0
rh_G_front_middle_meancurv_D,0,0.0
rh_G_front_sup_meancurv_D,0,0.0
rh_G_Ins_lg_and_S_cent_ins_meancurv_D,0,0.0
rh_G_insular_short_meancurv_D,0,0.0
rh_G_occipital_middle_meancurv_D,0,0.0
rh_G_occipital_sup_meancurv_D,0,0.0
rh_G_oc.temp_lat.fusifor_meancurv_D,0,0.0
rh_G_oc.temp_med.Lingual_meancurv_D,0,0.0
rh_G_oc.temp_med.Parahip_meancurv_D,0,0.0
rh_G_orbital_meancurv_D,0,0.0
rh_G_pariet_inf.Angular_meancurv_D,0,0.0
rh_G_pariet_inf.Supramar_meancurv_D,0,0.0
rh_G_parietal_sup_meancurv_D,0,0.0
rh_G_postcentral_meancurv_D,0,0.0
rh_G_precentral_meancurv_D,0,0.0
rh_G_precuneus_meancurv_D,0,0.0
rh_G_rectus_meancurv_D,0,0.0
rh_G_subcallosal_meancurv_D,0,0.0
rh_G_temp_sup.G_T_transv_meancurv_D,0,0.0
rh_G_temp_sup.Lateral_meancurv_D,0,0.0
rh_G_temp_sup.Plan_polar_meancurv_D,0,0.0
rh_G_temp_sup.Plan_tempo_meancurv_D,0,0.0
rh_G_temporal_inf_meancurv_D,0,0.0
rh_G_temporal_middle_meancurv_D,0,0.0
rh_Lat_Fis.ant.Horizont_meancurv_D,0,0.0
rh_Lat_Fis.ant.Vertical_meancurv_D,0,0.0
rh_Lat_Fis.post_meancurv_D,0,0.0
rh_Pole_occipital_meancurv_D,0,0.0
rh_Pole_temporal_meancurv_D,0,0.0
rh_S_calcarine_meancurv_D,0,0.0
rh_S_central_meancurv_D,0,0.0
rh_S_cingul.Marginalis_meancurv_D,0,0.0
rh_S_circular_insula_ant_meancurv_D,0,0.0
